,c1,c24,gasolineSing92Crack,naphthaNWECrack,r10,gasolineEuroCrack
2013-07-01 12:00:00,-12.248,15.71137706,8.603745773,-9.32,101.977,8.771813
2013-07-01 12:15:00,-12.24,15.69182001,8.586615898,-9.33,101.963,8.754683125
2013-07-01 12:30:00,-12.2,15.72982001,8.611652773,-9.3,101.925,8.77972
2013-07-01 12:45:00,-12.2,15.76797621,8.621897773,-9.3,102.083,8.789965
2013-07-01 13:00:00,-12.2,15.76469372,8.663992773,-9.3,102.003,8.83206
2013-07-01 13:15:00,-12.255,15.72291397,8.586032773,-9.305,102.296,8.7541
2013-07-01 13:30:00,-12.24,15.73248505,8.622452773,-9.23,102.113,8.79052
2013-07-01 13:45:00,-12.22,15.70015619,8.724442773,-9.26,102.246,8.89251
2013-07-01 14:00:00,-12.25,15.6851147,8.649654023,-9.22,102.373,8.81772125
2013-07-01 14:15:00,-12.25,15.72449237,8.588797773,-9.22,102.513,8.756865
2013-07-01 14:30:00,-12.3,15.70737828,8.596762773,-9.22,102.463,8.76483
2013-07-01 14:45:00,-12.4,15.7303191,8.599172773,-9.22,102.563,8.76724
2013-07-01 15:00:00,-12.27,15.66170104,8.341927773,-9.22,102.498,8.509995
2013-07-01 15:15:00,-12.285,15.65292923,8.398296523,-9.22,102.641,8.56636375
2013-07-01 15:30:00,-12.26,15.61405735,8.443462773,-9.23,102.54,8.61153
2013-07-01 15:45:00,-12.245,15.62116351,8.537062773,-9.225,102.717,8.70513
2013-07-01 16:00:00,-12.25,15.6361507,8.520302773,-9.3,102.641,8.68837
2013-07-01 16:15:00,-12.27,15.55270104,8.506662773,-9.4,102.607,8.67473
2013-07-01 16:30:00,-12.27,15.36599085,8.441672773,-9.4,102.269,8.58832
2013-07-01 16:45:00,-12.252,15.41174863,8.636642773,-9.3,102.296,8.80471
2013-07-01 17:00:00,-12.23,15.34270775,8.553462773,-9.3,101.968,8.72153
2013-07-01 17:15:00,-12.185,15.32497071,8.511057773,-9.3,101.857,8.679125
2013-07-01 17:30:00,-12.167,15.16081025,8.536757773,-9.3,101.888,8.704825
2013-07-01 17:45:00,-12.23,15.17655034,8.585202773,-9.3,101.956,8.75327
2013-07-01 18:00:00,-12.18,15.18197254,8.619442773,-9.3,101.973,8.78751
2013-07-01 18:15:00,-12.2,15.24056986,8.672927773,-9.3,102.104,8.840995
2013-07-01 18:30:00,-12.2,15.32749298,8.819022773,-9.25,102.151,8.98709
2013-07-01 18:45:00,-12.2,15.32857352,8.872157773,-9.25,102.212,9.040225
2013-07-01 19:00:00,-12.22,15.31173134,8.971072773,-9.27,101.901,9.13914
2013-07-01 19:15:00,-12.2,15.25780232,8.820207773,-9.25,101.908,8.988275
2013-07-01 19:30:00,-12.205,15.14095058,8.509382773,-9.25,102.338,8.67745
2013-07-01 19:45:00,-12.32,15.16877059,8.634272773,-9.25,102.215,8.80234
2013-07-01 20:00:00,-12.35,15.15521354,8.698005273,-9.25,102.195,8.8660725
2013-07-02 07:00:00,-12.4,15.10785418,8.737540273,-9.25,102.293,8.9056075
2013-07-02 07:15:00,-12.35,15.10410616,8.931607773,-9.25,102.33,9.099675
2013-07-02 07:30:00,-12.35,15.08712081,8.891371864,-9.25,102.381,9.05943909091
2013-07-02 07:45:00,-12.4,15.04930079,8.855127773,-9.25,102.514,9.023195
2013-07-02 08:00:00,-12.4,15.13161562,8.901162773,-9.25,102.538,9.06923
2013-07-02 08:15:00,-12.35,15.13812124,8.831210773,-9.25,102.395,8.999278
2013-07-02 08:45:00,-12.24,15.18526602,8.968604023,-9.25,102.641,9.13667125
2013-07-02 09:00:00,-12.25,15.18028005,9.058625308,-9.25,102.439,9.12465171875
2013-07-02 09:15:00,-12.245,15.17401668,9.079588589,-9.25,102.455,9.145615
2013-07-02 09:30:00,-12.18,15.12705979,9.042868589,-8.9,102.241,9.108895
2013-07-02 09:45:00,-12.246,15.14735693,9.126343589,-8.75,102.338,9.19237
2013-07-02 10:00:00,-12.25,15.1380665,9.125343589,-8.8,102.381,9.19137
2013-07-02 10:15:00,-12.25,15.15968944,9.106238589,-8.85,102.421,9.172265
2013-07-02 10:30:00,-12.25,14.96457352,9.040178135,-8.82,102.326,9.10620454545
2013-07-02 10:45:00,-12.3,14.92730384,9.053480408,-8.75,102.341,9.11950681818
2013-07-02 11:00:00,-12.35,14.94971141,9.083280408,-8.65,102.307,9.14930681818
2013-07-02 11:15:00,-12.4,14.86454484,9.118062537,-8.5,102.349,9.18408894737
2013-07-02 11:30:00,-12.38,14.88847895,8.89172,-8.6,102.297,9.44172
2013-07-02 11:45:00,-12.4,14.87523673,6.510747368,-8.55,102.383,9.51074736842
2013-07-02 12:00:00,-12.42,14.87652085,6.583300625,-8.5,102.316,9.583300625
2013-07-02 12:15:00,-12.445,14.91373459,6.69675,-8.5,102.501,9.69675
2013-07-02 12:30:00,-12.5,14.97014887,6.56944,-8.5,102.584,9.56944
2013-07-02 12:45:00,-12.4,14.97334289,6.319565,-8.5,102.469,9.319565
2013-07-02 13:00:00,-12.4,14.98646492,6.4862375,-8.5,102.406,9.4862375
2013-07-02 13:15:00,-12.4,14.99961257,6.304875,-8.5,102.465,9.304875
2013-07-02 13:30:00,-12.45,15.03102807,6.32617,-8.5,102.305,9.32617
2013-07-02 13:45:00,-12.468,15.06116962,6.09421,-8.518,102.437,9.09421
2013-07-02 14:00:00,-12.48,15.06302013,6.23844,-8.5,102.39,9.23844
2013-07-02 14:15:00,-12.54,15.06814765,6.535415,-8.45,102.754,9.535415
2013-07-02 14:30:00,-12.554,15.09662599,6.53111,-8.454,102.67,9.53111
2013-07-02 14:45:00,-12.6,15.11183344,6.58963,-8.45,102.845,9.58963
2013-07-02 15:00:00,-12.595,15.16698902,6.56615,-8.445,102.745,9.56615
2013-07-02 15:15:00,-12.65,15.07132459,6.33447,-8.5,102.891,9.33447
2013-07-02 15:30:00,-12.604,15.14297804,6.38423,-8.55,102.931,9.38423
2013-07-02 15:45:00,-12.65,15.03678523,6.49819,-8.55,102.881,9.49819
2013-07-02 16:00:00,-12.6,14.94993594,6.484502,-8.55,102.745,9.484502
2013-07-02 16:15:00,-12.6,15.03120866,6.46624,-8.55,102.641,9.46624
2013-07-02 16:30:00,-12.67,14.96911409,6.370983333,-8.5,102.848,9.48898
2013-07-02 16:45:00,-12.7,15.06545272,6.235965,-8.45,102.757,9.235965
2013-07-02 17:00:00,-12.7,15.07279134,6.31717,-8.45,102.755,9.31717
2013-07-02 17:15:00,-12.725,15.11692617,6.3508,-8.4,102.722,9.3508
2013-07-02 17:30:00,-12.65,15.21235815,6.59668,-8.4,102.755,9.59668
2013-07-02 17:45:00,-12.7,15.21600183,6.6875,-8.4,102.757,9.6875
2013-07-02 18:00:00,-12.683,15.18411247,6.7297,-8.3,102.782,9.7297
2013-07-02 18:15:00,-12.7,15.2196628,6.8008,-8.3,102.629,9.805
2013-07-02 18:30:00,-12.7,15.23173215,6.7051,-8.3,102.719,9.7051
2013-07-02 18:45:00,-12.715,15.2082892,6.7532,-8.3,102.776,9.7532
2013-07-02 19:00:00,-12.7,15.20502359,6.7484,-8.35,103.072,9.7484
2013-07-02 19:15:00,-12.7,15.29083405,6.8503,-8.35,103.157,9.8503
2013-07-02 19:30:00,-12.7,15.27439597,6.5384,-8.35,103.135,9.5384
2013-07-02 19:45:00,-12.7,15.26361745,6.4835,-8.35,103.129,9.4835
2013-07-02 20:00:00,-12.705,15.2481745,6.49,-8.35,103.178,9.49
2013-07-03 07:00:00,-12.7,15.1153075,6.6221,-8.35,104.099,9.6221
2013-07-03 07:15:00,-12.7,15.08212142,6.7016,-8.35,104.127,9.7016
2013-07-03 07:30:00,-12.85,15.11232825,6.69708,-8.35,104.046,9.69708
2013-07-03 07:45:00,-12.85,15.03905817,6.699866667,-8.35,103.978,9.69986666667
2013-07-03 08:00:00,-12.95,15.06690604,6.669896552,-8.35,104.069,9.66989655172
2013-07-03 08:15:00,-13.01,15.16401342,6.661456604,-8.35,103.888,9.66145660377
2013-07-03 08:30:00,-13.1,15.19635509,6.6113,-8.4,103.816,9.6113
2013-07-03 08:45:00,-13.05,15.20115436,6.788011765,-8.4,103.772,9.78801176471
2013-07-03 09:00:00,-13.08,15.21996299,6.8334,-8.4,103.701,9.8334
2013-07-03 09:30:00,-13.4,15.19099085,6.748875,-8.85,103.944,9.748875
2013-07-03 09:45:00,-13.5,15.42673093,6.75854375,-8.9,103.792,9.75854375
2013-07-03 10:00:00,-13.45,15.41912569,6.8011,-8.85,103.727,9.8011
2013-07-03 10:15:00,-13.4,15.30490421,6.7982,-8.95,103.858,9.7982
2013-07-03 10:30:00,-13.5,15.28217389,6.75376,-8.95,103.903,9.75376
2013-07-03 10:45:00,-13.511,15.32312264,6.839094118,-8.95,103.868,9.83909411765
2013-07-03 11:00:00,-13.55,15.24904088,6.723735294,-8.95,103.898,9.72373529412
2013-07-03 11:15:00,-13.55,15.24175046,6.691135294,-8.95,103.939,9.69113529412
2013-07-03 11:30:00,-13.6,15.29973276,6.6818,-8.95,103.892,9.6818
2013-07-03 11:45:00,-13.594,15.34669738,6.675333333,-8.994,103.867,9.67533333333
2013-07-03 12:00:00,-13.55,15.34667663,6.703357895,-9.0,103.923,9.70335789474
2013-07-03 12:15:00,-13.55,15.37296095,6.6651,-9.0,103.953,9.6651
2013-07-03 12:30:00,-13.55,15.42700793,6.636575,-9.0,104.206,9.636575
2013-07-03 12:45:00,-13.61,15.44132276,6.5892,-9.0,104.298,9.5892
2013-07-03 13:00:00,-13.6,15.39438865,6.6192,-9.05,104.373,9.6192
2013-07-03 13:15:00,-13.6,15.42450275,6.7985,-9.1,104.41,9.7985
2013-07-03 13:30:00,-13.641,15.45542953,6.8586,-9.091,104.709,9.8586
2013-07-03 13:45:00,-13.65,15.4861806,6.9529,-9.05,104.6,9.9529
2013-07-03 14:15:00,-13.557,15.51745027,7.1635,-8.95,104.591,10.1635
2013-07-03 14:30:00,-13.6,15.52492678,7.0693,-8.95,104.555,10.0693
2013-07-03 14:45:00,-13.55,15.50342892,7.0762,-8.95,104.42,10.0762
2013-07-03 15:00:00,-13.54,15.58635693,7.2124,-8.95,104.399,10.2124
2013-07-03 15:15:00,-13.55,15.51137767,6.8283,-8.95,104.418,9.8283
2013-07-03 15:30:00,-13.58,15.44198597,6.7922,-8.95,104.515,9.7922
2013-07-03 15:45:00,-13.62,15.56819341,7.1524,-9.0,104.579,10.1524
2013-07-03 16:00:00,-13.62,15.71670165,7.191675,-9.05,104.934,10.191675
2013-07-03 16:15:00,-13.705,15.75929225,7.1782,-9.0,104.93,10.1782
2013-07-03 16:30:00,-13.75,15.84847712,6.326,-9.12,104.864,10.0081
2013-07-03 16:45:00,-13.75,15.83300488,7.034,-9.15,104.845,10.034
2013-07-03 17:00:00,-13.756,15.76983994,6.93025,-9.15,104.966,9.93025
2013-07-03 17:15:00,-13.75,15.72933374,6.9518,-9.15,104.848,9.9518
2013-07-03 17:30:00,-13.6,15.67106528,6.876,-9.2,104.616,9.876
2013-07-03 17:45:00,-13.6,15.76909945,6.842,-9.2,104.764,9.842
2013-07-03 18:00:00,-13.719,15.77036913,6.980466667,-9.2,104.785,9.98046666667
2013-07-03 18:15:00,-13.71,15.77887797,6.9946,-9.2,104.771,9.9946
2013-07-03 18:30:00,-13.7,15.80533374,7.034818727,-9.2,104.772,10.0348187275
2013-07-03 18:45:00,-13.69,15.70113301,7.04995078,-9.2,104.837,10.0499507803
2013-07-03 19:00:00,-13.75,15.72066931,7.044056423,-9.2,104.907,10.0440564226
2013-07-03 19:15:00,-13.75,15.63882916,7.025170468,-9.2,104.631,10.0251704682
2013-07-03 19:30:00,-13.725,15.44641367,7.073846339,-9.2,104.952,10.0738463385
2013-07-03 19:45:00,-13.75,15.45241367,7.04672509,-9.2,104.946,10.04672509
2013-07-03 20:00:00,-13.75,15.45934777,7.044330132,-9.2,104.911,10.0443301321
2013-07-04 07:00:00,-13.75,15.45934777,7.044330132,-9.2,104.911,10.0443301321
2013-07-04 07:15:00,-13.75,15.45934777,7.044330132,-9.2,104.911,10.0443301321
2013-07-04 07:30:00,-13.75,15.45934777,7.044330132,-9.2,104.911,10.0443301321
2013-07-04 07:45:00,-13.75,15.45934777,7.044330132,-9.2,104.911,10.0443301321
2013-07-04 08:00:00,-13.75,15.45934777,7.044330132,-9.2,104.911,10.0443301321
2013-07-04 08:15:00,-13.65,15.53273581,7.024007203,-9.2,104.614,10.0240072029
2013-07-04 08:30:00,-13.5,15.53647814,6.982355342,-9.25,104.786,9.98235534214
2013-07-04 08:45:00,-13.45,15.64757718,6.96887515,-9.25,104.589,9.96887515006
2013-07-04 09:00:00,-13.55,15.65205857,7.108268908,-9.3,104.484,9.90826890756
2013-07-04 09:15:00,-13.47,15.61138743,7.31784874,-9.1,104.424,10.1178487395
2013-07-04 09:30:00,-13.48,15.60274192,7.319901561,-9.1,104.454,10.1199015606
2013-07-04 09:45:00,-13.42,15.76073398,7.317096038,-9.1,104.413,10.1170960384
2013-07-04 10:00:00,-13.3,15.70334045,7.254231693,-9.15,104.275,10.0542316927
2013-07-04 10:15:00,-13.329,15.67369677,7.256942377,-9.15,104.299,10.056942377
2013-07-04 10:30:00,-13.3,15.65722636,7.199373349,-9.2,104.254,9.99937334934
2013-07-04 10:45:00,-13.2,15.70049603,7.251357743,-9.15,104.233,10.0513577431
2013-07-04 11:00:00,-13.12,15.74835448,7.183566627,-9.2,104.023,9.98356662665
2013-07-04 11:15:00,-13.135,15.66408481,7.257256903,-9.15,104.085,10.0572569028
2013-07-04 11:30:00,-13.1,15.63928554,7.192188475,-9.2,104.149,9.99218847539
2013-07-04 11:45:00,-13.1,15.63997743,7.19519928,-9.2,104.193,9.99519927971
2013-07-04 12:00:00,-13.15,15.67864857,7.199441777,-9.2,104.255,9.99944177671
2013-07-04 12:15:00,-13.15,15.70287004,7.196636255,-9.2,104.214,9.9966362545
2013-07-04 12:30:00,-13.15,15.72013972,7.229031212,-9.17,104.219,10.0290312125
2013-07-04 12:45:00,-13.15,15.71798353,7.215756303,-9.17,104.025,10.0157563025
2013-07-04 13:00:00,-13.154,15.73140574,7.212098439,-9.17,104.034,10.0120984394
2013-07-04 13:15:00,-13.095,15.76951983,7.223698679,-9.17,104.063,10.0236986795
2013-07-04 13:30:00,-13.1,15.80352654,7.226362545,-9.17,104.18,10.026362545
2013-07-04 13:45:00,-13.1,15.82352654,7.224993998,-9.17,104.16,10.0249939976
2013-07-04 14:00:00,-13.1,15.81321843,7.228757503,-9.17,104.215,10.028757503
2013-07-04 14:15:00,-13.14,15.8480903,7.304609844,-9.2,104.32,10.1046098439
2013-07-04 14:30:00,-13.25,15.84611775,7.295220888,-9.2,104.417,10.0952208884
2013-07-04 14:45:00,-13.25,15.71368883,7.297757503,-9.2,104.376,10.097757503
2013-07-04 15:00:00,-13.319,15.73429408,7.281015606,-9.2,104.428,10.0810156062
2013-07-04 15:15:00,-13.25,15.81437279,7.301931573,-9.2,104.437,10.1019315726
2013-07-04 15:30:00,-13.25,15.87594448,7.302342137,-9.2,104.443,10.1023421369
2013-07-04 15:45:00,-13.35,15.87305857,7.307132053,-9.2,104.513,10.1071320528
2013-07-04 16:00:00,-13.31,15.95070653,7.297894358,-9.2,104.378,10.0978943577
2013-07-04 16:15:00,-13.26,15.87843685,7.290631453,-9.2,104.428,10.0906314526
2013-07-04 16:30:00,-13.145,15.91820866,7.328941176,-9.2,104.254,10.0947515006
2013-07-04 16:45:00,-13.23,15.91859243,7.242078031,-9.25,104.343,10.0420780312
2013-07-04 17:00:00,-13.23,15.90262477,7.244746699,-9.25,104.382,10.0447466987
2013-07-04 17:15:00,-13.23,15.89045149,7.24939976,-9.25,104.45,10.0493997599
2013-07-04 17:30:00,-13.23,15.92700854,7.249194478,-9.25,104.447,10.0491944778
2013-07-04 17:45:00,-13.23,15.95951556,7.248441777,-9.25,104.436,10.0484417767
2013-07-04 18:00:00,-13.254,15.91719483,7.232926771,-9.25,104.584,10.0329267707
2013-07-04 18:15:00,-13.23,15.93379988,7.254052821,-9.25,104.518,10.0540528211
2013-07-04 18:30:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-04 18:45:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-04 19:00:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-04 19:15:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-04 19:30:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-04 19:45:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-04 20:00:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-05 07:00:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-05 07:15:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-05 07:30:00,-13.23,15.91137767,7.254052821,-9.25,104.518,10.0540528211
2013-07-05 07:45:00,-13.25,15.94689933,7.255421369,-9.25,104.538,10.0554213685
2013-07-05 08:00:00,-13.25,15.9112349,7.261306122,-9.25,104.624,10.0613061224
2013-07-05 08:15:00,-13.25,16.02370531,7.257816327,-9.25,104.573,10.0578163265
2013-07-05 08:30:00,-13.3,16.09713728,7.261579832,-9.25,104.628,10.0615798319
2013-07-05 08:45:00,-13.3,16.01539821,7.260416567,-9.25,104.611,10.0604165666
2013-07-05 09:00:00,-13.345,16.04586089,7.311995198,-9.2,104.506,10.1119951981
2013-07-05 09:15:00,-13.34,15.98680171,7.736633854,-9.1,104.688,10.2366338535
2013-07-05 09:30:00,-13.57,16.02053874,8.085031212,-8.75,104.783,10.5850312125
2013-07-05 09:45:00,-13.55,16.00903478,8.049214886,-8.8,104.728,10.549214886
2013-07-05 10:00:00,-13.5,15.96202807,8.095519808,-8.75,104.624,10.5955198079
2013-07-05 10:15:00,-13.53,15.93749847,8.101404562,-8.75,104.71,10.6014045618
2013-07-05 10:30:00,-13.55,15.84396217,7.568064826,-8.8,104.714,10.0680648259
2013-07-05 10:45:00,-13.46,15.8685845,7.543421369,-8.8,104.51,10.0434213685
2013-07-05 11:00:00,-13.45,15.86486882,7.558211285,-8.8,104.57,10.0582112845
2013-07-05 11:15:00,-13.4,15.87532886,7.563617047,-8.8,104.649,10.0636170468
2013-07-05 11:45:00,-13.5,15.89219016,7.597864346,-8.85,105.053,10.0978643457
2013-07-05 12:00:00,-13.7,15.84002868,7.321439376,-9.0,105.987,9.82143937575
2013-07-05 12:15:00,-13.7,15.88190787,7.196805522,-9.1,105.727,9.69680552221
2013-07-05 12:30:00,-13.65,15.84188774,7.382230492,-8.9,105.314,9.8822304922
2013-07-05 12:45:00,-13.6,15.92130995,7.378330132,-8.9,105.257,9.87833013205
